"AgentNo","x","y","Lat","Sharpness","Valence","No_of_Shares","Share","Group","memory x1","memory y1","memory x2","memory y2","memory x3","memory y3","memory x4","memory y4","memory x5","memory y5","memory x6","memory y6","memory x7","memory y7","memory x8","memory y8","memory x9","memory y9","memory x10","memory y10","memory x11","memory y11","memory x12","memory y12","memory x13","memory y13","memory x14","memory y14","memory x15","memory y15","memory x16","memory y16","memory x17","memory y17","memory x18","memory y18","memory x19","memory y19","memory x20","memory y20","Social_posting","model_no"
1,0.050237674289383,-0.112448901822791,1,5,0.123160786937879,0,1.88878396106884,"A",-0.792999993544072,-0.478171051479876,0.323191115632653,-0.249880531802773,0.371638046577573,0.483721476513892,0.995715443044901,0.0399859938770533,0.720045294146985,-0.511603864375502,0.437010968569666,-0.503384748473763,-0.526710630394518,-0.0235966527834535,0.226281209848821,0.0920365327037871,0.320538350846618,-0.867526976857334,-0.478268544655293,-0.320869354065508,-0.319868769496679,0.356499223969877,0.0855761994607747,-0.594408668577671,-0.375370806083083,0.4981195544824,-0.43046909570694,-0.672273080330342,0.877082860097289,0.320194820407778,-0.355993686243892,-0.947349522262812,0.919542314019054,-0.310577037278563,-0.0944129535928369,0.184146979358047,-0.265001907944679,0.612316849641502,-0.632771928794682,0.643642020877451,0,4
2,0.0359633774729446,-0.165945556201041,1,5,0.16979779781297,0,0.364925334230065,"B",-0.849409885238856,-0.813074020668864,-0.891523392405361,-0.393789234105498,0.437010968569666,-0.503384748473763,-0.526710630394518,-0.0235966527834535,0.371638046577573,0.483721476513892,0.0757879102602601,-0.291954884305596,0.720045294146985,-0.511603864375502,-0.979301675222814,-0.317371807061136,-0.0944129535928369,0.184146979358047,0.226281209848821,0.0920365327037871,0.137033259961754,-0.732299358583987,0.919542314019054,-0.310577037278563,0.659192129969597,-0.48286198079586,-0.110684185754508,0.0408409554511309,0.995715443044901,0.0399859938770533,-0.729913201648742,0.175560906529427,0.855377306230366,-0.1179543370381,0.485915681812912,0.514194617513567,-0.724489447195083,0.269169886596501,-0.257826643530279,-0.620100547093898,0,4
3,0.254938519443385,-0.168594254693016,1,5,0.305643045743689,0,1.00142407556996,"B",0.659192129969597,-0.48286198079586,0.371638046577573,0.483721476513892,0.664247278124094,-0.919417124707252,0.838446605484933,-0.595922759734094,0.320538350846618,-0.867526976857334,0.919542314019054,-0.310577037278563,0.873529506847262,-0.424181948415935,-0.110684185754508,0.0408409554511309,-0.868146137334406,0.342046956531703,0.562985152937472,0.132648047991097,-0.121858081314713,-0.737255212850869,0.752930327318609,0.481733071617782,-0.480490737594664,-0.156070649623871,0.720045294146985,-0.511603864375502,-0.975730234757066,0.488057059235871,0.644351858645678,-0.374993711709976,0.995715443044901,0.0399859938770533,-0.265001907944679,0.612316849641502,0.0757879102602601,-0.291954884305596,-0.478268544655293,-0.320869354065508,0,4
4,-0.0296603604918346,-0.255626381165348,1,5,0.257341375865206,0,0.679679168853909,"B",-0.43046909570694,-0.672273080330342,-0.265001907944679,0.612316849641502,-0.562595303170383,0.410434940829873,-0.0944129535928369,0.184146979358047,-0.905467954464257,-0.325795816257596,0.439695131964982,-0.900580664630979,-0.634857968427241,-0.439339331816882,0.256988187786192,-0.811692824587226,-0.110684185754508,0.0408409554511309,-0.849409885238856,-0.813074020668864,0.878447172231972,-0.297156834974885,-0.724489447195083,0.269169886596501,0.320538350846618,-0.867526976857334,-0.526710630394518,-0.0235966527834535,0.0757879102602601,-0.291954884305596,0.664247278124094,-0.919417124707252,-0.792999993544072,-0.478171051479876,0.919542314019054,-0.310577037278563,0.995715443044901,0.0399859938770533,0.752930327318609,0.481733071617782,0,4
5,0.079910188447684,-0.087268166616559,1,5,0.118327389569617,0,1.24965692684054,"H",-0.849409885238856,-0.813074020668864,0.720045294146985,-0.511603864375502,0.41095053544268,0.625718677882105,0.320538350846618,-0.867526976857334,-0.632771928794682,0.643642020877451,0.995715443044901,0.0399859938770533,-0.634857968427241,-0.439339331816882,0.22668468253687,-0.106496522203088,-0.952986090444028,-0.266779628582299,0.0757879102602601,-0.291954884305596,0.439695131964982,-0.900580664630979,-0.265001907944679,0.612316849641502,0.0855761994607747,-0.594408668577671,0.855377306230366,-0.1179543370381,-0.724489447195083,0.269169886596501,0.878447172231972,-0.297156834974885,-0.0944129535928369,0.184146979358047,-0.319868769496679,0.356499223969877,0.168997609987855,0.419625055510551,0.894187083933502,0.310407713986933,0,4
6,-0.245037993602455,0.0384004886029288,1,5,0.248028659299002,0,0.861555873416364,"A",0.371638046577573,0.483721476513892,0.320538350846618,-0.867526976857334,0.168997609987855,0.419625055510551,-0.0944129535928369,0.184146979358047,-0.956347188446671,0.239657857455313,-0.634857968427241,-0.439339331816882,-0.0476404870860279,0.660608986858279,-0.43046909570694,-0.672273080330342,0.752930327318609,0.481733071617782,-0.265001907944679,0.612316849641502,-0.265354198869318,-0.713990333955735,-0.319868769496679,0.356499223969877,0.0757879102602601,-0.291954884305596,-0.952986090444028,-0.266779628582299,-0.809686777647585,0.0796494842506945,-0.165896910708398,0.589909777976573,0.401494056917727,0.238212042488158,-0.729913201648742,0.175560906529427,-0.526710630394518,-0.0235966527834535,-0.792999993544072,-0.478171051479876,0,4
7,0.223270469182171,-0.18334721790161,1,5,0.288904663723324,0,0.609085489064455,"D",0.485915681812912,0.514194617513567,0.745448884554207,-0.930077461525798,0.928728911094368,-0.210550228133798,0.995715443044901,0.0399859938770533,0.562985152937472,0.132648047991097,-0.43046909570694,-0.672273080330342,0.168997609987855,0.419625055510551,0.720045294146985,-0.511603864375502,-0.480490737594664,-0.156070649623871,0.226281209848821,0.0920365327037871,-0.355993686243892,-0.947349522262812,-0.71050891187042,-0.407566697802395,0.320538350846618,-0.867526976857334,0.919542314019054,-0.310577037278563,-0.729913201648742,0.175560906529427,0.519905425142497,-0.285010238643736,-0.0944129535928369,0.184146979358047,0.377925716340542,0.18502578092739,0.219380066264421,0.18039236869663,0.0757879102602601,-0.291954884305596,0,4
8,-0.185894721606746,-0.0708622922189534,1,5,0.198942986756945,0,0.0180478352122009,"D",0.485915681812912,0.514194617513567,0.194331026636064,-0.349506076425314,-0.0944129535928369,0.184146979358047,-0.724489447195083,0.269169886596501,-0.729913201648742,0.175560906529427,0.371638046577573,0.483721476513892,-0.480490737594664,-0.156070649623871,0.562985152937472,0.132648047991097,-0.651406954042614,-0.478113658260554,-0.809686777647585,0.0796494842506945,-0.792999993544072,-0.478171051479876,-0.905467954464257,-0.325795816257596,-0.43046909570694,-0.672273080330342,0.0757879102602601,-0.291954884305596,0.226281209848821,0.0920365327037871,0.519905425142497,-0.285010238643736,-0.526710630394518,-0.0235966527834535,-0.57949502998963,0.899607224855572,-0.0883882394991815,-0.704626911785454,0.659192129969597,-0.48286198079586,0,4
9,-0.070922550233081,-0.303034040075727,1,5,0.311222810179751,0,0.409054602961987,"G",-0.110684185754508,0.0408409554511309,-0.185159695334733,-0.572098338510841,-0.956347188446671,0.239657857455313,0.519905425142497,-0.285010238643736,0.323191115632653,-0.249880531802773,-0.792999993544072,-0.478171051479876,0.226281209848821,0.0920365327037871,-0.43046909570694,-0.672273080330342,-0.729913201648742,0.175560906529427,0.320538350846618,-0.867526976857334,0.0757879102602601,-0.291954884305596,-0.265001907944679,0.612316849641502,-0.891523392405361,-0.393789234105498,-0.634857968427241,-0.439339331816882,0.724813471082598,-0.370889400132,0.745448884554207,-0.930077461525798,-0.849409885238856,-0.813074020668864,0.919542314019054,-0.310577037278563,0.66681978199631,-0.730579295195639,-0.0944129535928369,0.184146979358047,0,4
10,-0.184800152527168,-0.177757153916173,1,5,0.256415097337194,0,1.82783260149881,"F",-0.480490737594664,-0.156070649623871,-0.849409885238856,-0.813074020668864,0.0757879102602601,-0.291954884305596,0.320538350846618,-0.867526976857334,-0.724489447195083,0.269169886596501,0.562985152937472,0.132648047991097,-0.257826643530279,-0.620100547093898,-0.375370806083083,0.4981195544824,0.226281209848821,0.0920365327037871,-0.121858081314713,-0.737255212850869,0.435898776166141,-0.94748215097934,-0.729913201648742,0.175560906529427,-0.265001907944679,0.612316849641502,-0.956347188446671,0.239657857455313,-0.634857968427241,-0.439339331816882,0.371638046577573,0.483721476513892,0.519905425142497,-0.285010238643736,0.659192129969597,-0.48286198079586,-0.526710630394518,-0.0235966527834535,-0.945953554473817,-0.394101543817669,0,4
