"AgentNo","x","y","Lat","Sharpness","Valence","No_of_Shares","Share","Group","memory x1","memory y1","memory x2","memory y2","memory x3","memory y3","memory x4","memory y4","memory x5","memory y5","memory x6","memory y6","memory x7","memory y7","memory x8","memory y8","memory x9","memory y9","memory x10","memory y10","memory x11","memory y11","memory x12","memory y12","memory x13","memory y13","memory x14","memory y14","memory x15","memory y15","memory x16","memory y16","memory x17","memory y17","memory x18","memory y18","memory x19","memory y19","memory x20","memory y20"
1,-0.00967586899903688,-0.0433574036856309,0.5,5,0.044423945066206,0,1.88878396106884,"A",0.0371888533128379,-0.123872829826631,-0.219446080993231,-0.0230959651290221,0.0389473939624521,0.0552002529393411,-0.0313397838982605,0.00707952718855049,0.0371888533128379,-0.123872829826631,-0.230582257333487,-0.16665627847305,0.0516436183825135,0.275783587247133,-0.369470030348177,0.148822356202279,0.0314385620117096,0.0689078113170803,0.0442823317551184,-0.0655492792486261,-0.0686229378916323,-0.673614657483995,0.0371888533128379,-0.123872829826631,0.0609298503034498,-0.0564714328055899,0.100484404712915,0.525493368972093,-0.102671408743008,-0.0445114836994251,0.176061232574284,-0.661367509048432,0.0371888533128379,-0.123872829826631,-0.0948500548321601,0.142321969272554,-0.0560690740744575,0.0168007510497109,0.326991441179882,0.0792002272933026
2,-0.082150021448266,0.0516852500637412,0.5,5,0.0970566386091237,2,0.364925334230065,"B",-0.382469038795578,-0.178942776434225,0.0516436183825135,0.275783587247133,-0.240177705169081,0.106967193323762,-0.0260236247302881,0.188908834136922,-0.0360477836802602,0.572260588873178,-0.0444281607154724,0.156568677417046,0.088478903377878,-0.0938113775090151,-0.219446080993231,-0.0230959651290221,-0.192784202716972,-0.361414925694738,-0.102671408743008,-0.0445114836994251,0.0188492205925286,-0.0339656840078533,0.153315473983706,-0.380212884226172,0.010637044917903,0.111901236534865,-0.230582257333487,-0.16665627847305,0.00873359177766111,0.192999778358759,-0.0948500548321601,0.142321969272554,-0.369470030348177,0.148822356202279,-0.146582231574724,0.197116469315221,-0.183985591724306,0.271421813082159,0.294859889359235,-0.0487561273155518
3,-0.145897076201537,0.00985765479632078,0.5,5,0.146229717233675,0,1.00142407556996,"B",0.088478903377878,-0.0938113775090151,-0.529599971574137,0.137487689528277,0.294859889359235,-0.0487561273155518,0.153315473983706,-0.380212884226172,-0.508388987276703,-0.179651848040521,-0.45112983789295,-0.12339754588902,-0.0414488285908519,-0.0391245844645383,-0.154809666073599,-0.0382794419092154,0.104720736853778,-0.0919256485067308,0.0201555629419666,0.137675366491698,-0.0948500548321601,0.142321969272554,0.323405963436388,0.196868811666346,-0.334363978691707,-0.0294370582696696,-0.183985591724306,0.271421813082159,-0.382469038795578,-0.178942776434225,0.110447844024748,-0.12404665350914,-0.369470030348177,0.148822356202279,-0.236823144934064,0.288541465432459,-0.219446080993231,-0.0230959651290221,-0.506540686280969,0.224695535453465
4,0.0956369211074593,0.0370960512147067,0.5,5,0.102579421399414,0,0.679679168853909,"B",-0.382469038795578,-0.178942776434225,0.0219161086715758,-0.18716031126678,0.440661985892802,-0.606533160433173,-0.154809666073599,-0.0382794419092154,0.0516436183825135,0.275783587247133,0.153315473983706,-0.380212884226172,0.372045139782131,-0.312525753397495,-0.211133366784813,0.284577496015666,-0.00637325191339851,0.127009922719169,0.294859889359235,-0.0487561273155518,-0.0948500548321601,0.142321969272554,0.599479309748858,0.632839621044695,-0.0360477836802602,0.572260588873178,0.326991441179882,0.0792002272933026,0.00757160781868573,0.203607366765812,0.110447844024748,-0.12404665350914,-0.219446080993231,-0.0230959651290221,0.088478903377878,-0.0938113775090151,0.541722751222551,0.224684917833656,0.00873359177766111,0.192999778358759
5,-0.155012887721208,-0.00438090230720989,0.5,5,0.155074780879075,0,1.24965692684054,"H",-0.117055264135343,-0.111727089997798,-0.110035742317808,0.0519318581050479,-0.118394123391648,0.0514472365356009,-0.0896443610358136,0.0781066394702692,-0.382469038795578,-0.178942776434225,-0.130346961494717,-0.0840953968351122,-0.0948500548321601,0.142321969272554,-0.135427296643134,-0.0909367059937235,-0.108191572416731,-0.113554641642731,-0.0733792586202165,0.0589889973231955,-0.0925037482385314,-0.142860164700141,-0.0360477836802602,0.572260588873178,-0.0990020842165316,0.0735915048163989,-0.112240250217951,-0.095369040248042,-0.112240250217951,-0.095369040248042,-0.369470030348177,0.148822356202279,-0.622121916152537,-0.390377843286842,-0.0990020842165316,0.0735915048163989,-0.108191572416731,-0.113554641642731,-0.0896443610358136,0.0781066394702692
6,-0.0454185001742508,-0.0519743803667343,0.5,5,0.0690230133548542,0,0.861555873416364,"A",-0.0948500548321601,0.142321969272554,0.0371888533128379,-0.123872829826631,-0.211133366784813,0.284577496015666,0.088478903377878,-0.0938113775090151,-0.102671408743008,-0.0445114836994251,0.0400003517553791,0.00294773388359999,-0.0560690740744575,0.0168007510497109,-0.317737316247076,-0.544540533330292,0.110447844024748,-0.12404665350914,-0.369470030348177,0.148822356202279,-0.230582257333487,-0.16665627847305,0.0371888533128379,-0.123872829826631,0.0229903215946538,0.0580433285436124,0.372045139782131,-0.312525753397495,0.0371888533128379,-0.123872829826631,-0.236823144934064,0.288541465432459,-0.292824577695345,0.0654694094943155,0.0371888533128379,-0.123872829826631,0.153315473983706,-0.380212884226172,0.0677577797377256,0.114784166222229
7,-0.10826691713817,-0.0366750644175827,0.5,5,0.115198596384427,0,0.609085489064455,"D",-0.506540686280969,0.224695535453465,-0.0675342583456251,-0.0927044561449603,-0.0555685989677025,-0.0102948368970067,-0.038245237923825,-0.0128631086928922,-0.382469038795578,-0.178942776434225,-0.0675342583456251,-0.0927044561449603,-0.0483955141695747,-0.131892946948498,-0.369470030348177,0.148822356202279,-0.100926237665159,0.0848464978648677,-0.0707095592978236,-0.0033987952562041,-0.0483955141695747,-0.131892946948498,-0.0245067366919651,-0.133549360079938,-0.334363978691707,-0.0294370582696696,0.372045139782131,-0.312525753397495,-0.0948500548321601,0.142321969272554,-0.0339029599700768,-0.0104577292946692,-0.111401274933058,-0.00762085675532409,-0.0483955141695747,-0.131892946948498,-0.0405803428797915,-0.0195421488669446,-0.0935936860675668,-0.0344674700650387
8,-0.0555685989677025,-0.0102948368970067,0.5,5,0.0565141828036937,395,0.0180478352122009,"D",-0.131498743673798,-0.00117364860534609,-0.382469038795578,-0.178942776434225,-0.0483955141695747,-0.131892946948498,-0.06432454961945,-0.0818896452604488,0.0516436183825135,0.275783587247133,-0.0669707633715752,-0.100942690193436,-0.0483955141695747,-0.131892946948498,0.294859889359235,-0.0487561273155518,-0.0483955141695747,-0.131892946948498,0.088478903377878,-0.0938113775090151,-0.0245067366919651,-0.133549360079938,-0.0669707633715752,-0.100942690193436,-0.100926237665159,0.0848464978648677,-0.0675342583456251,-0.0927044561449603,-0.0675342583456251,-0.0927044561449603,-0.369470030348177,0.148822356202279,-0.0675342583456251,-0.0927044561449603,-0.0360477836802602,0.572260588873178,-0.0336731846024671,-0.12174269274086,0.0782927588919284,0.247933449485037
9,-0.0981226503100072,0.0534881083428439,0.5,5,0.111782308398223,0,0.409054602961987,"G",-0.0420507218343031,0.0680097997565463,-0.0989697577715424,0.0454948097539622,-0.105746409415855,0.088682003745186,-0.0948500548321601,0.142321969272554,-0.0989697577715424,0.0454948097539622,-0.110994375974966,0.0506509785405003,-0.106068412276638,0.0528057845619574,-0.0394981917506756,0.0905409833953341,-0.0988552547993677,0.0770926274010773,-0.0778276136680631,0.0422760937919949,0.088478903377878,-0.0938113775090151,-0.382469038795578,-0.178942776434225,-0.0235689063146533,0.0601929968924471,-0.0657602601944009,0.0800471999919968,-0.0420507218343031,0.0680097997565463,-0.0818200574443306,0.104530410440153,-0.369470030348177,0.148822356202279,-0.0778276136680631,0.0422760937919949,-0.0468228754114093,0.0838679024966051,-0.0873118554719934,0.0513997012550205
10,-0.0973464190240692,0.0579152509159812,0.5,5,0.113271804017905,0,1.82783260149881,"F",-0.0595329987475079,-0.0346951323489275,-0.10714168929859,0.0574245403574624,-0.0460621483572838,0.0026035668698691,0.294859889359235,-0.0487561273155518,-0.0578932788580086,-0.0192076687861782,-0.382469038795578,-0.178942776434225,-0.10714168929859,0.0574245403574624,-0.123407371508826,0.0746858072565393,-0.369470030348177,0.148822356202279,-0.211133366784813,0.284577496015666,-0.0463745000748012,0.00802589716334804,0.100484404712915,0.525493368972093,-0.0552087914563614,0.0335377612581989,-0.111538220400837,0.0385972265673646,-0.164441835180603,0.0146699070599431,-0.0525780824490707,0.0282078127577326,-0.153828667873445,0.0363115141347334,-0.0948500548321601,0.142321969272554,-0.0945856559735616,-0.000602580838099603,-0.104615254315321,-0.0121944602026389
